"","Date","Row","Well","CellLine","Cell.Nucleus","Time","drug","conc","rep","l2","nl2"
"233","20150227","F","F10","A2058",3006,70.355,"plx",8,26,11.5536292939164,1.85492462714602
"293","20150227","F","F10","A2058",6279,96.0494,"plx",8,26,12.6163190969769,2.91761443020652
"353","20150227","F","F10","A2058",9641,120.4186,"plx",8,26,13.2349670805175,3.53626241374713
"413","20150227","F","F10","A2058",12849,142.0008,"plx",8,26,13.6493684626122,3.95066379584185
"54","20150227","G","G10","A2058",657,0,"plx",8,27,9.35974956032233,0
"114","20150227","G","G10","A2058",860,25.9614,"plx",8,27,9.74819284958946,0.38844328926713
"174","20150227","G","G10","A2058",1381,40.2572,"plx",8,27,10.4314976042581,1.07174804393572
"234","20150227","G","G10","A2058",2630,70.355,"plx",8,27,11.3608470841797,2.00109752385733
"294","20150227","G","G10","A2058",6510,96.0494,"plx",8,27,12.668441828053,3.30869226773067
"354","20150227","G","G10","A2058",10785,120.4186,"plx",8,27,13.3967385560478,4.03698899572549
"414","20150227","G","G10","A2058",13817,142.0008,"plx",8,27,13.7541567857999,4.39440722547761
"58","20150227","E","E11","A2058",916,0,"plx",8,28,9.83920378809694,0
"118","20150227","E","E11","A2058",1255,25.9614,"plx",8,28,10.2934716488381,0.45426786074119
"178","20150227","E","E11","A2058",1785,40.2572,"plx",8,28,10.8017083589165,0.962504570819519
"238","20150227","E","E11","A2058",3620,70.355,"plx",8,28,11.8217739819706,1.98257019387362
"298","20150227","E","E11","A2058",7314,96.0494,"plx",8,28,12.8364449113414,2.99724112324443
"358","20150227","E","E11","A2058",11277,120.4186,"plx",8,28,13.4610957007642,3.62189191266723
"418","20150227","E","E11","A2058",15344,142.0008,"plx",8,28,13.9053870050181,4.06618321692119
"59","20150227","F","F11","A2058",641,0,"plx",8,29,9.32418054661874,0
"119","20150227","F","F11","A2058",961,25.9614,"plx",8,29,9.90839262077375,0.584212074155008
"179","20150227","F","F11","A2058",1360,40.2572,"plx",8,29,10.4093909361377,1.08521038951896
"239","20150227","F","F11","A2058",1601,70.355,"plx",8,29,10.6447575925163,1.32057704589752
"299","20150227","F","F11","A2058",5670,96.0494,"plx",8,29,12.4691330198296,3.14495247321085
"359","20150227","F","F11","A2058",9004,120.4186,"plx",8,29,13.1363503414542,3.81216979483541
"419","20150227","F","F11","A2058",9533,142.0008,"plx",8,29,13.2187145810675,3.89453403444876
"60","20150227","G","G11","A2058",589,0,"plx",8,30,9.20212382383046,0
"120","20150227","G","G11","A2058",847,25.9614,"plx",8,30,9.7262181593322,0.524094335501738
"180","20150227","G","G11","A2058",1306,40.2572,"plx",8,30,10.3509391815464,1.14881535771597
"240","20150227","G","G11","A2058",2611,70.355,"plx",8,30,11.3503867423128,2.14826291848238
"300","20150227","G","G11","A2058",6007,96.0494,"plx",8,30,12.5524289485265,3.35030512469601
"360","20150227","G","G11","A2058",9683,120.4186,"plx",8,30,13.2412383791234,4.03911455529295
"420","20150227","G","G11","A2058",12942,142.0008,"plx",8,30,13.6597729618816,4.45764913805115
